Abbr,Team Name,Marble,Starting Position,Qualifying Lap (s),Diff,Place,Points
ANC,Balls of Chaos,Anarchy,6,32.40,2.35,8,0
BLT,Thunderbolts,Bolt,2,32.52,2.47,9,0
BLY,Green Ducks,Billy,9,31.61,1.56,5,0
HVE,Hornets,Hive,4,32.04,1.99,7,0
LML,Limers,Limelime,1,31.40,1.35,4,0
MIM,Team Momo,Mimo,5,32.67,2.62,10,0
MRY,Team Primary,Mary,13,35.51,5.46,16,0
ORN,O'rangers,Orangin,11,33.86,3.81,15,0
PLS,Team Galactic,Pulsar,16,33.31,3.26,12,0
REZ,Raspberry Racers,Rezzy,10,31.02,0.97,3,0
RJ2,Rojo Rollers,Rojo Dos,3,33.79,3.74,14,0
RPD,Savage Speeders,Rapidly,12,31.89,1.84,6,0
SMG,Hazers,Smoggy,15,30.37,0.32,2,0
SNF,Snowballs,Snowflake,14,33.70,3.65,13,0
WOS,Midnight Wisps,Wospy,7,30.05,0.00,1,0
YLP,Mellow Yellow,Yellup,8,33.07,3.02,11,0