Abbr,Team Name,Marble,Starting Position,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Total,Diff,Place,New Points,Total Points
ANC,Balls of Chaos,Anarchy,9,33.15,37.51,36.65,35.68,36.66,36.45,37.13,39.49,34.52,5:27.24,9.51,10,,1
BLT,Thunderbolts,Bolt,10,34.53,35.86,35.69,35.36,36.66,36.61,34.90,39.55,35.28,5:24.44,6.71,5,,10
BLY,Green Ducks,Billy,5,32.09,35.10,35.43,34.31,38.42,35.83,34.79,36.79,34.97,5:17.73,0.00,1,,30
HVE,Hornets,Hive,7,34.09,37.13,35.96,35.30,36.49,36.61,37.79,36.39,35.95,5:25.71,7.98,9,,2
LML,Limers,Limelime,4,34.28,36.53,35.88,35.71,36.03,36.63,35.61,36.24,37.20,5:24.11,6.38,4,,12
MIM,Team Momo,Mimo,11,33.33,39.42,36.84,36.04,36.64,36.40,37.23,36.06,36.36,5:28.32,10.59,11,,0
MRY,Team Primary,Mary,16,34.76,36.51,37.40,38.02,35.86,40.45,37.64,38.67,36.40,5:35.71,17.98,15,,12
ORN,O'rangers,Orangin,15,33.70,37.41,36.62,35.70,37.04,36.60,42.85,34.88,36.12,5:30.92,13.19,14,,8
PLS,Team Galactic,Pulsar,12,34.47,38.35,36.08,35.53,35.54,36.16,38.21,37.76,36.96,5:29.06,11.33,12,,25
REZ,Raspberry Racers,Rezzy,3,33.11,36.85,35.99,35.13,36.67,37.28,35.78,39.59,35.12,5:25.52,7.79,8,,10
RJ2,Rojo Rollers,Rojo Dos,14,34.42,39.87,37.16,35.31,38.45,36.34,36.41,36.00,36.61,5:30.57,12.84,13,,0
RPD,Savage Speeders,Rapidly,6,32.58,35.37,35.91,38.83,35.09,35.62,35.04,35.84,36.28,5:20.56,2.83,2,,29
SMG,Hazers,Smoggy,2,31.36,35.57,37.25,36.29,36.76,36.59,34.88,35.84,36.41,5:20.95,3.22,3,,33
SNF,Snowballs,Snowflake,13,35.08,39.73,35.29,35.20,34.43,36.10,36.75,36.43,36.35,5:25.36,7.63,6,,23
WOS,Midnight Wisps,Wospy,1,32.87,35.49,36.90,73.44,36.61,35.58,37.12,35.49,,5:23.50,5.77,16,,1
YLP,Mellow Yellow,Yellup,8,33.46,37.40,36.20,35.77,36.55,36.35,37.60,36.77,35.36,5:25.46,7.73,7,,8