Abbr,Team Name,Marble,Starting Position,Qualifying Lap (s),Diff,Place,Fastest Lap,Points
BOC,Balls of Chaos,Clutter,8,31.12,3.01,15,0,0
GAL,Team Galactic,Starry,5,28.37,0.26,2,0,0
GDK,Green Ducks,Mallard,10,29.54,1.43,10,0,0
HAZ,Hazers,Hazy,14,29.34,1.23,9,0,0
HOR,Hornets,Vespa,7,29.11,1.00,8,0,0
LMR,Limers,Sublime,16,30.41,2.30,14,0,0
MNW,Midnight Wisps,Wispy,9,29.98,1.87,11,0,0
MOM,Team Momo,Momo,6,28.40,0.29,3,0,0
MYL,Mellow Yellow,Yellow,11,28.70,0.59,4,0,0
ORA,O'rangers,Clementin,2,28.11,0.00,1,0,0
PRM,Team Primary,Prim,4,28.96,0.85,7,0,0
ROJ,Rojo Rollers,Rojo Uno,3,30.08,1.97,12,0,0
RSP,Raspberry Racers,Razzy,13,28.72,0.61,6,0,0
SAV,Savage Speeders,Speedy,1,31.20,3.09,16,1,0
SNO,Snowballs,Snowy,15,28.71,0.60,5,0,0
TBO,Thunderbolts,Shock,12,30.29,2.18,13,0,0